FOLIO_I,indice1,nseF,nse5F
2022_15012026,-1,31,1,1
2022_12001086,-2,36,1,1
2022_11033024,-2,12,1,1
2022_20002005,-2,42,1,1
2022_17036022,-1,06,1,2
2022_31052015,-2,12,1,1
2022_13057029,-,3,2,2
2022_26002019,-2,97,1,1
2022_02002160,-2,17,1,1
2022_11001010,-2,12,1,1
2022_13076028,-,76,1,2
2022_07057030,-3,42,1,1
2022_22012008,-3,68,1,1
2022_24028001,-3,6,1,1
2022_31101001,-2,14,1,1
2022_12051004,-3,95,1,1
2022_31050131,-,76,1,2
2022_12001078,-3,33,1,1
2022_12051028,-1,34,1,1
2022_11017039,-1,05,1,2
2022_17006015,-,09,2,3
2022_21148005,-2,14,1,1
2022_07008011,-2,23,1,1
2022_31050118,-1,36,1,1
2022_15054007,-,49,1,2
2022_07039017,-,96,1,2
2022_29007018,-,59,1,2
2022_19041006,-,8,1,2
2022_11020186,-1,89,1,1
2022_29007036,-1,31,1,1
2022_15104035,-1,05,1,2
2022_21212014,-2,17,1,1
2022_32040016,-3,33,1,1
2022_03003134,-,57,1,2
2022_20016002,-2,2,1,1
2022_31098009,-2,06,1,1
2022_12001049,-,01,2,3
2022_22016036,-2,71,1,1
2022_20076029,-1,84,1,1
2022_04001043,-,8,1,2
2022_07039023,,01,2,3
2022_13002002,,21,2,3
2022_15118019,-1,31,1,1
2022_11023008,-1,06,1,2
2022_07108013,-2,12,1,1
2022_31038003,-1,81,1,1
2022_31056021,-1,86,1,1
2022_07057024,-3,12,1,1
2022_03003101,-1,05,1,2
2022_21148010,-1,87,1,1
2022_04008014,-,18,2,3
2022_02001031,-1,59,1,1
2022_20076022,-1,85,1,1
2022_29007027,-2,07,1,1
2022_10007042,-,01,2,3
2022_23006012,-2,71,1,1
2022_20339031,-3,22,1,1
2022_21148008,-2,44,1,1
2022_15033104,-,52,1,2
2022_31038009,,08,2,3
2022_07039037,-2,07,1,1
2022_13046015,-3,96,1,1
2022_07039001,-3,12,1,1
2022_21147017,-2,88,1,1
2022_27002062,-2,63,1,1
2022_13027041,-2,63,1,1
2022_30167018,-2,36,1,1
2022_04002143,-1,82,1,1
2022_01001002,-,78,1,2
2022_09006013,-1,05,1,2
2022_30033008,-3,11,1,1
2022_31098028,-,2,2,3
2022_31038005,-1,36,1,1
2022_12031003,-2,62,1,1
2022_29058022,-,59,1,2
2022_07058018,-1,65,1,1
2022_30201013,-2,63,1,1
2022_17007027,-,2,2,3
2022_07039020,-3,22,1,1
2022_25015036,-,82,1,2
2022_31038025,-,76,1,2
2022_22016051,-2,62,1,1
2022_12001118,-1,78,1,1
2022_11020096,-2,95,1,1
2022_13002020,-2,12,1,1
2022_12031013,-3,04,1,1
2022_29031014,-4,25,1,1
2022_21147023,-4,61,1,1
2022_30039019,-1,65,1,1
2022_07087012,-3,93,1,1
2022_20272011,-1,18,1,1
2022_11020201,-2,47,1,1
2022_32017053,-,88,1,2
2022_07058005,-3,03,1,1
2022_30159024,-1,09,1,2
2022_15033005,,08,2,3
2022_07039029,-2,64,1,1
2022_07039028,-3,39,1,1
2022_24037039,-2,34,1,1
2022_07008015,-1,97,1,1
2022_12051021,-2,33,1,1
2022_12051036,-2,92,1,1
2022_22016060,-1,09,1,2
2022_14021010,-1,67,1,1
2022_24021003,-3,28,1,1
2022_23006026,-1,65,1,1
2022_07052019,-3,68,1,1
2022_12051001,-3,33,1,1
2022_11017021,-1,65,1,1
2022_10007032,-1,05,1,2
2022_11020252,-1,27,1,1
2022_23002039,-1,68,1,1
2022_04002142,-,79,1,2
2022_19031021,-1,09,1,2
2022_23002052,-1,65,1,1
2022_26047028,-2,62,1,1
2022_11003046,-2,33,1,1
2022_24021014,-2,36,1,1
2022_04002068,-2,62,1,1
2022_30201018,-1,35,1,1
2022_11014026,-,78,1,2
2022_04001012,-,8,1,2
2022_32036015,-1,87,1,1
2022_31041025,-1,18,1,1
2022_20076011,-3,09,1,1
2022_24037025,-2,65,1,1
2022_21147024,-3,49,1,1
2022_29031006,-1,05,1,2
2022_24037005,-2,92,1,1
2022_07008021,-,86,1,2
2022_29058017,-1,89,1,1
2022_07020017,-2,93,1,1
2022_07008009,-2,51,1,1
2022_06009034,-1,06,1,2
2022_21148030,-2,14,1,1
2022_32036023,-3,28,1,1
2022_18017068,-1,3,1,1
2022_30131004,-2,83,1,1
2022_03008014,-1,05,1,2
2022_15106028,-2,63,1,1
2022_12007036,-2,65,1,1
2022_30201008,-3,38,1,1
2022_31101019,-1,65,1,1
2022_15106006,-1,87,1,1
2022_04001017,-1,57,1,1
2022_11014061,-3,19,1,1
2022_17028033,-,79,1,2
2022_11033025,-,29,2,2
2022_24021023,-3,57,1,1
2022_23002044,-2,16,1,1
2022_30033014,-3,7,1,1
2022_17011004,-1,16,1,1
2022_13046012,-,52,1,2
2022_02003007,-1,58,1,1
